Date,Close,Volume,MA5,MA20,Daily_Return,Volatility,mean_compound,sentiment_sum,pos_ratio,neg_ratio,doc_count,Target,Return_Magnitude
2026-03-09,409.4100036621094,30131900,407.63599853515626,401.26816711425784,0.0011003819846291396,0.007859738905889441,0.053675,0.0,0.125,0.125,8.0,0,-0.008915253325116002
2026-03-10,405.760009765625,31706400,408.002001953125,400.9232604980469,-0.008915253325116002,0.008465644248770823,0.053675,0.0,0.125,0.125,8.0,0,-0.002168781697636457
2026-03-11,404.8800048828125,25512100,407.93800048828126,400.5508178710937,-0.002168781697636457,0.008452150865329215,0.053675,0.0,0.125,0.125,8.0,0,-0.007459048347235875
2026-03-12,401.8599853515625,27263900,406.1739990234375,400.4713607788086,-0.007459048347235875,0.0040309876214094514,0.053675,0.0,0.125,0.125,8.0,0,-0.015701980263283843
2026-03-13,395.54998779296875,26848000,403.49199829101565,400.20261535644534,-0.015701980263283843,0.006478267486991986,0.053675,0.0,0.125,0.125,8.0,1,0.011123813803188609
2026-03-16,399.95001220703125,27733700,401.6,400.17981109619143,0.011123813803188609,0.010039867244203655,0.053675,0.0,0.125,0.125,8.0,0,-0.001350190094862036
2026-03-17,399.4100036621094,26228300,400.3299987792969,400.3524993896484,-0.001350190094862036,0.009798679234997566,0.053675,0.0,0.125,0.125,8.0,0,-0.019078127856892224
2026-03-18,391.7900085449219,25908500,397.7119995117188,400.0074996948242,-0.019078127856892224,0.012051189073208799,0.053675,0.0,0.125,0.125,8.0,0,-0.007070163788856276
2026-03-19,389.0199890136719,25138800,395.1440002441406,399.5354995727539,-0.007070163788856276,0.012044649616900879,0.053675,0.0,0.125,0.125,8.0,0,-0.018379502592174246
2026-03-20,381.8699951171875,50853200,392.4080017089844,398.7674987792969,-0.018379502592174246,0.0126071414983844,0.053675,0.0,0.125,0.125,8.0,1,0.002959135038786531
2026-03-23,383.0,29680100,389.01799926757815,398.6939987182617,0.002959135038786531,0.009923989401782587,0.053675,0.0,0.125,0.125,8.0,0,-0.02678853724706265
