Ticker,Model,Accuracy,Precision,Recall,F1-Score,RMSE
AAPL,RNN,0.8333,0.8333,1.0,0.9091,0.181096
AAPL,LSTM,0.3333,0.6667,0.4,0.5,0.093806
AAPL,GRU,0.1667,0.0,0.0,0.0,0.095618
TSLA,RNN,0.8333,0.8333,1.0,0.9091,0.303029
TSLA,LSTM,0.5,1.0,0.4,0.5714,0.074116
TSLA,GRU,0.1667,0.0,0.0,0.0,0.09788
GOOGL,RNN,0.3333,0.5,0.25,0.3333,0.32471
GOOGL,LSTM,0.3333,0.0,0.0,0.0,0.115566
GOOGL,GRU,0.3333,0.0,0.0,0.0,0.138593
MSFT,RNN,0.5,0.5,1.0,0.6667,0.110409
MSFT,LSTM,0.5,0.0,0.0,0.0,0.043687
MSFT,GRU,0.5,0.0,0.0,0.0,0.036148
AMZN,RNN,0.0,0.0,0.0,0.0,0.099506
AMZN,LSTM,0.1667,0.0,0.0,0.0,0.237696
AMZN,GRU,0.5,0.75,0.6,0.6667,0.113954
